District,State,Students,Charter_Percent,ELL_Percent,IEP_Percent,Low_Income_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
LITTLE ROCK SCHOOL DISTRICT,Arkansas,24383,0,0.12,0.13,0.315424681,12.78,1.004,0
BUNCOMBE COUNTY SCHOOLS,North Carolina,24369,0,0.06,0.15,0.54327219,15.06,1.058,0
MOORE,Oklahoma,24355,0,0.02,0.16,0.45276124,19.58,0.996,1
POMONA UNIFIED,California,24314,0.05,0.28,0.12,0.837336514,22.07,0.977,0
LAREDO ISD,Texas,24237,0.03,0.51,0.08,0.929611751,16.71,1.038,0
TUSTIN UNIFIED,California,24130,0,0.19,0.09,0.36837961,27.29,0.973,0
BIRMINGHAM CITY,Alabama,24070,0,0.03,0.07,0.654964686,18.94,1.032,0
HUNTSVILLE CITY,Alabama,24026,0,0.05,0.08,0.424914676,16.5,1.25,0
BIBB COUNTY,Georgia,23988,0.03,0.02,0.1,0.988160747,15.81,1.083,0
PROVIDENCE,Rhode Island,23983,0.05,0.25,0.17,0.86015094,14.69,0.979,0
MILLARD PUBLIC SCHOOLS,Nebraska,23980,0,0.02,0.12,0.209132611,16.15,1.031,0
PITT COUNTY SCHOOLS,North Carolina,23955,0,0.04,0.12,0.636526821,15.06,1.045,0
GOOSE CREEK CISD,Texas,23926,0,0.14,0.1,0.642982529,16.15,1.18,0
ANTELOPE VALLEY UNION HIGH,California,23905,0.2,0.09,0.15,0.683999163,23.08,1.007,0
CHAFFEY JOINT UNION HIGH,California,23894,0,0.09,0.13,0.597430317,24.48,1.194,0
RICHLAND 01,South Carolina,23886,0.04,0.04,0.15,1,12.59,1.008,0
SALT LAKE DISTRICT,Utah,23885,0,0.18,0.12,0.594515386,21.8,0.865,0
BIRDVILLE ISD,Texas,23857,0,0.18,0.09,0.568554303,15.24,0.916,0
HESPERIA UNIFIED,California,23844,0.17,0.18,0.12,0.6854974,24.04,0.952,0
VANCOUVER SCHOOL DISTRICT,Washington,23831,0,0.13,0.12,0.501070035,18.7,0.927,0
MCALLEN ISD,Texas,23826,0,0.29,0.09,0.721522706,14.75,0.945,0
PUBLIC SCHOOLS OF ROBESON COUNTY,North Carolina,23757,0,0.06,0.16,0.97259755,15.71,0.996,0
TORRANCE UNIFIED,California,23696,0,0.16,0.12,0.257216408,25.04,1.112,0
SPOTSYLVANIA CO PBLC SCHS,Virginia,23597,0,0.04,0.12,0.38644743,17.1,0.957,0
ALVIN ISD,Texas,23587,0,0.16,0.1,0.491499555,15.37,1.408,0
WASHINGTON ELEMENTARY SCHOOL DISTRICT,Arizona,23526,0,0.13,0.16,0.990393607,18.47,0.908,1
RAPIDES PARISH,Louisiana,23517,0,0.02,0.11,0.725390143,17.89,0.994,0
COMPTON UNIFIED,California,23452,0.05,0.34,0.12,0.807948149,25.67,0.988,0
MANTECA UNIFIED,California,23441,0.03,0.24,0.15,0.5562476,24.38,1.021,0
SCOTTSDALE UNIFIED DISTRICT,Arizona,23405,0,0.03,0.1,0.293997009,17.96,0.869,1
HURST-EULESS-BEDFORD ISD,Texas,23120,0,0.13,0.09,0.5183391,17,0.897,0
PALM SPRINGS UNIFIED,California,23087,0.04,0.33,0.11,0.83367263,24.23,1.024,0
FEDERAL WAY SCHOOL DISTRICT,Washington,23043,0,0.19,0.13,0.615588248,18.13,0.96,0
JUDSON ISD,Texas,23037,0,0.08,0.1,0.632808091,16.79,1.087,0
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,23005,0,0.08,0.13,0.605650945,15.55,1.039,0
MURRIETA VALLEY UNIFIED,California,22978,0,0.06,0.14,0.30072243,26.47,0.938,0
HAYWARD UNIFIED,California,22922,0.14,0.28,0.11,0.68305558,23.91,1.039,0
EVANSVILLE VANDERBURGH SCHOOL CORP,Indiana,22879,0,0.02,0.17,0.560164343,13.19,0.951,0
GALENA PARK ISD,Texas,22784,0,0.3,0.09,0.80275632,16.26,0.862,0
COLTON JOINT UNIFIED,California,22774,0,0.23,0.12,0.798278739,22.5,1.003,0
SPRINGDALE SCHOOL DISTRICT,Arkansas,22771,0.03,0.45,0.1,0.463308594,14.84,0.993,0
BLUE VALLEY,Kansas,22676,0,0.03,0.11,0.082333745,15.14,0.97,0
COWETA COUNTY,Georgia,22567,0,0.02,0.1,0.41347986,15.72,1.012,0
WASHINGTION COUNTY PUBLIC SCHOOLS,Maryland,22545,0,0.02,0.1,0.493102684,15.7,0.978,0
PUYALLUP SCHOOL DISTRICT,Washington,22447,0,0.05,0.12,0.339199002,20.33,0.91,0
PALMDALE ELEMENTARY,California,22412,0.1,0.23,0.13,0.835445297,24.84,1.058,0
SOUTH-WESTERN CITY,Ohio,22362,0,0.14,0.15,0.554333244,19.12,1.083,0
PITTSBURGH SD,Pennsylvania,22359,0,0.04,0.22,0.639339863,11.26,0.93,0
DOWNEY UNIFIED,California,22303,0,0.15,0.14,0.688158544,25.01,1.039,0
BOSSIER PARISH,Louisiana,22251,0,0.03,0.12,0.399577547,17.59,1.058,0
COMAL ISD,Texas,22240,0,0.06,0.1,0.281070144,16.63,0.92,0
MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51,Colorado,22105,0.07,0.03,0.11,0.510834653,17.22,0.971,1
KANSAS CITY,Kansas,22044,0,0.38,0.15,0.841861731,13.83,1.006,0
NORTHWEST ISD,Texas,22044,0,0.05,0.09,0.182045001,15.26,1.239,0
LAKE ELSINORE UNIFIED,California,22039,0.04,0.16,0.13,0.640319434,23.69,0.947,0
GREELEYSCHOOL DISTRICT NO. 6 IN THE COUNTY OF WELD AND STA,Colorado,22033,0.19,0.2,0.11,0.651795035,18.26,0.967,1
ASCENSION PARISH,Louisiana,21942,0,0.02,0.1,0.549357397,16.38,0.952,0
NORTHSHORE SCHOOL DISTRICT,Washington,21918,0,0.07,0.12,0.14805183,19.81,1.141,0
BEAUFORT 01,South Carolina,21911,0.03,0.16,0.1,0.641458628,13.75,1.084,0
NEW HAVEN SCHOOL DISTRICT,Connecticut,21883,0,0.15,0.14,0.496367043,12.81,0.96,0
KENOSHA SCHOOL DISTRICT,Wisconsin,21825,0.12,0.1,0.13,0.497411226,15.74,0.979,0
HEMET UNIFIED,California,21710,0.07,0.13,0.15,0.792445877,22.87,1.12,0
GROSSMONT UNION HIGH,California,21709,0.12,0.09,0.14,0.531254318,24.48,1.028,0
ONTARIO-MONTCLAIR,California,21665,0,0.34,0.12,0.835541195,23.79,0.991,0
FAIRFIELD-SUISUN UNIFIED,California,21607,0,0.14,0.13,0.551071412,25.03,0.942,0
PEARLAND ISD,Texas,21585,0,0.07,0.09,0.284225156,16.07,0.93,0
NEWPORT-MESA UNIFIED,California,21581,0,0.24,0.11,0.415875075,24.67,1.021,0
HAMILTON SOUTHEASTERN SCHOOLS,Indiana,21545,0,0.02,0.11,0.139893247,19.49,0.881,0
SC PUBLIC CHARTER SCHOOL DISTRICT,South Carolina,21540,1,0.02,0.11,0.437140204,20.37,0.95,0
REDLANDS UNIFIED,California,21395,0.04,0.09,0.13,0.560177612,24.32,0.887,0
EDMONDS SCHOOL DISTRICT,Washington,21265,0,0.13,0.14,0.376016929,19.98,1.018,0
GREEN BAY AREA PUBLIC SCHOOL DISTRICT,Wisconsin,21149,0.02,0.19,0.15,0.57080713,14.05,0.959,0
BRIDGEPORT SCHOOL DISTRICT,Connecticut,21040,0,0.15,0.18,0.507224335,14.91,1.003,0
OSSEO PUBLIC SCHOOL DISTRICT,Minnesota,21029,0,0.1,0.14,0.429787436,16.36,0.993,0
SYRACUSE CITY SCHOOL DISTRICT,New York,21015,0,0.16,0.21,0.780775636,13.61,0.987,0
SAN MARCOS UNIFIED,California,20970,0.05,0.17,0.13,0.365569862,24.65,1.124,0
ALLEN ISD,Texas,20939,0,0.05,0.11,0.149625101,15.91,1.022,0
CUSD 300,Illinois,20912,0.04,0.13,0.15,0.428605585,15.2,0.936,0
FALCON SCHOOL DISTRICT NO. 49 IN THE COUNTY OF EL PASO AND,Colorado,20834,0.25,0.04,0.11,0.308054142,20.07,0.881,1
MADERA UNIFIED,California,20779,0.1,0.29,0.1,0.882766254,24.85,0.969,0
HARNETT COUNTY SCHOOLS,North Carolina,20777,0,0.05,0.11,0.594455407,16.6,1.041,0
ABC UNIFIED,California,20768,0,0.21,0.1,0.492632897,25.15,1.005,0
HILLSBORO SD 1J,Oregon,20730,0.03,0.17,0.15,0.438301978,21.52,0.928,0
BOONE COUNTY,Kentucky,20716,0,0.05,0.13,0.387816181,16.4,0.912,1
DEARBORN CITY SCHOOL DISTRICT,Michigan,20674,0,0.48,0.08,0.66687627,16.87,1.091,0
OCEANSIDE UNIFIED,California,20629,0.08,0.16,0.14,0.580638906,23.79,0.971,0
IREDELL-STATESVILLE SCHOOLS,North Carolina,20566,0,0.04,0.1,0.427501702,16.54,1.079,0
ISSAQUAH SCHOOL DISTRICT,Washington,20532,0,0.06,0.08,0.083235924,20.62,1.003,0
BELLEVUE SCHOOL DISTRICT,Washington,20443,0,0.13,0.09,0.184072788,18.85,1.122,0
PAJARO VALLEY UNIFIED,California,20400,0.18,0.43,0.15,0.563578431,24.85,1.063,0
OLENTANGY LOCAL,Ohio,20322,0,0.02,0.11,0.062395434,19.69,0.889,0
FOLSOM-CORDOVA UNIFIED,California,20312,0.03,0.11,0.13,0.325817251,23.26,1.025,0
HARTFORD SCHOOL DISTRICT,Connecticut,20309,0,0.19,0.21,0.708405141,14.38,1.007,0
HAMPTON CITY PBLC SCHS,Virginia,20286,0,0.02,0.13,0.561717441,15.16,1.026,0
SOUTH BEND COMMUNITY SCHOOL CORP,Indiana,20274,0,0.08,0.2,0.625184966,18.48,0.809,0
SHELBY COUNTY,Alabama,20250,0,0.03,0.08,0.520134699,17.2,1.046,0
EVERETT SCHOOL DISTRICT,Washington,20224,0,0.13,0.12,0.393690665,20.18,0.913,0
NORTH KANSAS CITY 74,Missouri,20188,0,0.07,0.11,0.468644739,16.05,0.943,0
BRENTWOOD UNION FREE SCHOOL DISTRICT,New York,20013,0,0.31,0.14,0.773247389,17.74,0.966,0
VAL VERDE UNIFIED,California,19953,0,0.21,0.11,0.818824237,25.32,1.156,0
HIGHLINE SCHOOL DISTRICT,Washington,19696,0,0.27,0.14,0.676431763,18.82,1.002,0
NEWTON COUNTY,Georgia,19682,0.04,0.03,0.13,0.692256884,15.06,0.947,0
ROCKWOOD R-VI,Missouri,19675,0,0.02,0.17,0.163761118,13.38,0.958,0
EAGLE MT-SAGINAW ISD,Texas,19653,0,0.08,0.09,0.427415662,16.2,1.002,0
ROWAN-SALISBURY SCHOOLS,North Carolina,19519,0,0.06,0.11,0.670116297,15.21,1.013,0
PUTNAM CITY,Oklahoma,19475,0,0.11,0.16,0.78449294,16.02,1.003,1
OUACHITA PARISH,Louisiana,19420,0,0.01,0.12,0.534294542,16.41,0.983,0
TANGIPAHOA PARISH,Louisiana,19374,0,0.02,0.11,0.812016104,12.9,0.986,0
MADISON COUNTY,Alabama,19352,0,0.01,0.08,0.620232511,18.26,0.996,0
ALVORD UNIFIED,California,19255,0,0.37,0.12,0.763074526,24.1,1.001,0
DAVIDSON COUNTY SCHOOLS,North Carolina,19245,0,0.02,0.14,0.44998701,15.94,1.051,0
BETHEL SCHOOL DISTRICT,Washington,19226,0,0.01,0.13,0.492647059,19.52,0.964,0
HAYS CISD,Texas,19215,0,0.15,0.11,0.475149623,16.03,0.984,0
RANKIN CO SCHOOL DIST,Mississippi,19205,0,0.02,0.13,0.42520177,14.83,1.022,0
BEAUMONT ISD,Texas,19204,0,0.1,0.07,0.79191835,16.21,0.907,0
JURUPA UNIFIED,California,19194,0,0.33,0.12,0.748463061,23.06,0.96,0
RACINE UNIFIED SCHOOL DISTRICT,Wisconsin,19109,0.05,0.12,0.17,0.623475849,13.46,0.993,0
BROKEN ARROW,Oklahoma,19059,0,0.03,0.13,0.466813579,18.22,1.089,1
MARTIN,Florida,19026,0.05,0.15,0.16,0.442920214,15.54,0.962,0
BERKELEY COUNTY SCHOOLS,West Virginia,19000,0,0.02,0.17,0.501578947,14.89,0.992,1
ESCONDIDO UNION,California,18965,0.15,0.38,0.12,0.722119694,22.48,0.977,0
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Alaska,18926,0.13,0.03,0.15,0.354855754,18.68,1.167,0
CONEJO VALLEY UNIFIED,California,18918,0,0.1,0.1,0.211385982,23.25,0.931,0
HACIENDA LA PUENTE UNIFIED,California,18883,0,0.2,0.1,0.725414394,23.82,0.968,0
COACHELLA VALLEY UNIFIED,California,18719,0.04,0.5,0.11,0.929376569,22.2,1.061,0
HARLINGEN CISD,Texas,18700,0,0.13,0.1,0.77,14.7,0.996,0
WAYNE COUNTY PUBLIC SCHOOLS,North Carolina,18663,0,0.09,0.14,0.720355784,14.97,1.006,0
CUPERTINO UNION,California,18598,0,0.12,0.07,0.042477686,23.74,1.239,0
ANAHEIM ELEMENTARY,California,18558,0.04,0.58,0.13,0.838075224,26.11,1.029,0
SOUTH WASHINGTON COUNTY SCHOOL DIST,Minnesota,18485,0,0.06,0.14,0.206978631,15.78,1.013,0
CENTRAL BUCKS SD,Pennsylvania,18438,0,0.01,0.14,0.093719492,15.37,0.925,0
TUSCALOOSA COUNTY,Alabama,18430,0,0.04,0.1,0.470808464,18.56,0.935,0
PASADENA UNIFIED,California,18410,0.15,0.17,0.14,0.593427485,26.11,1.102,0
NORWALK-LA MIRADA UNIFIED,California,18374,0,0.18,0.13,0.693371068,24.84,1.035,0
FT. ZUMWALT R-II,Missouri,18345,0,0.03,0.17,0.229817389,14,0.99,0
LEE'S SUMMIT R-VII,Missouri,18261,0,0.02,0.1,0.193855758,15.04,0.916,0
NAPA VALLEY UNIFIED,California,18224,0.09,0.23,0.12,0.487214662,22.43,1.044,0
PROVO DISTRICT,Utah,18177,0,0.1,0.1,0.371458436,21.8,0.901,0
COLUMBIA 93,Missouri,18171,0,0.06,0.1,0.453855044,13.34,1.024,0
KENNEWICK SCHOOL DISTRICT,Washington,18171,0,0.15,0.12,0.000495295,18.86,1.056,0
TYLER ISD,Texas,18130,0,0.22,0.07,0.632432432,14.65,1.364,0
CUSD 308,Illinois,18121,0,0.05,0.13,0.192925335,15.6,0.927,0
ST. MARY'S COUNTY PUBLIC SCHOOLS,Maryland,18067,0.04,0.01,0.1,0.320971938,17.04,0.965,0
HANOVER CO PBLC SCHS,Virginia,18039,0,0.01,0.13,0.12256777,14.85,1.042,0
BEND-LAPINE ADMINISTRATIVE SD 1,Oregon,17984,0.03,0.04,0.11,0.397686833,21.44,1.192,0
HAZELWOOD,Missouri,17952,0,0.02,0.16,0.552083333,15.09,1.043,0
CARTWRIGHT ELEMENTARY DISTRICT,Arizona,17940,0,0.2,0.1,0.995317726,20.76,1.027,1
TERREBONNE PARISH,Louisiana,17917,0,0.03,0.1,0.561254674,14.83,0.957,0
PANAMA-BUENA VISTA UNION,California,17900,0,0.17,0.14,0.654972067,26.2,1.078,0
CACHE DISTRICT,Utah,17892,0,0.03,0.14,0.279063268,21.8,1.244,0
PASCO SCHOOL DISTRICT,Washington,17884,0,0.36,0.13,0.716897786,18.35,1,0
INDIAN RIVER,Florida,17879,0.17,0.05,0.14,0.563118743,16.09,0.987,0
FRANCIS HOWELL R-III,Missouri,17804,0,0.03,0.12,0.175185352,15.49,1.022,0
YORK 03,South Carolina,17795,0.04,0.05,0.15,0.603259343,14.99,0.918,0
BALDWIN PARK UNIFIED,California,17733,0.09,0.19,0.13,0.855692776,21.67,0.95,0
CEDAR RAPIDS COMM SCHOOL DISTRICT,Iowa,17627,0,0.04,0.14,0.468996426,16.17,0.953,0
ANN ARBOR PUBLIC SCHOOLS,Michigan,17565,0,0.08,0.11,0.215826929,18.04,0.979,0
READING SD,Pennsylvania,17482,0,0.22,0.2,0.945143576,17.8,1.056,0
ROCHESTER PUBLIC SCHOOL DISTRICT,Minnesota,17449,0,0.11,0.16,0.367757465,15.01,1.053,0
WESLACO ISD,Texas,17413,0,0.27,0.08,0.816918394,15.91,0.984,0
EUGENE SD 4J,Oregon,17404,0.14,0.03,0.15,0.396403126,22.14,1.08,0
OXNARD UNION HIGH,California,17401,0.18,0.15,0.11,0.631055686,26.15,1.133,0
PLYMOUTH-CANTON COMMUNITY SCHOOLS,Michigan,17394,0,0.06,0.1,0.146717259,20.48,1.128,0
NORTH CLACKAMAS SD 12,Oregon,17387,0.13,0.09,0.17,0.353424973,21.53,0.959,0
RANDOLPH COUNTY SCHOOL SYSTEM,North Carolina,17367,0,0.05,0.12,0.563655208,15.72,1.03,0
ANTIOCH UNIFIED,California,17326,0.07,0.19,0.15,0.672630728,24.46,1.218,0
PUEBLO SCHOOL DISTRICT NO. 60 IN THE COUNTY OF PUEBLO AND,Colorado,17319,0.06,0.05,0.11,0.76615278,17.14,0.945,1
SIMI VALLEY UNIFIED,California,17149,0,0.11,0.13,0.310513733,25.39,1.011,0
SCHOOL DISTRICT 27J,Colorado,17138,0.19,0.09,0.11,0.363402964,20.67,0.916,1
SUMTER 01,South Carolina,17136,0,0.02,0.15,1,15.71,0.97,0
LEXINGTON 05,South Carolina,17089,0,0.03,0.14,0.396512376,13.83,1.064,0
ALHAMBRA UNIFIED,California,17071,0,0.22,0.09,0.643957589,25.38,0.987,0
RIO RANCHO PUBLIC SCHOOLS,New Mexico,17054,0,0.03,0.15,0.419373754,16.13,0.993,0
ABILENE ISD,Texas,17030,0,0.05,0.11,0.701879037,15.13,1.172,0
VENTURA UNIFIED,California,16981,0,0.17,0.11,0.518402921,24.61,0.98,0
KYRENE ELEMENTARY DISTRICT,Arizona,16943,0,0.02,0.09,0.362096441,17.8,0.974,1
CAJON VALLEY UNION,California,16924,0.07,0.33,0.12,0.71117939,24.06,1.102,0
SANTA MARIA-BONITA,California,16868,0,0.62,0.09,0.814797249,23.9,1.045,0
VALLEY VIEW CUSD 365U,Illinois,16830,0,0.13,0.16,0.614438503,14.13,0.925,0
OXNARD,California,16822,0,0.54,0.11,0.816846986,23.46,1.075,0
NAPERVILLE CUSD 203,Illinois,16711,0,0.05,0.11,0.161510382,15.11,0.94,0
ALLENTOWN CITY SD,Pennsylvania,16611,0,0.14,0.19,0.915056288,16.83,0.952,0
BENTONVILLE SCHOOL DISTRICT,Arkansas,16609,0,0.04,0.1,0.150460594,14.49,1.145,0
PARKWAY C-2,Missouri,16603,0,0.05,0.16,0.197795579,13.83,0.968,0
WAUKEGAN CUSD 60,Illinois,16591,0,0.3,0.13,0.686094871,15.47,0.997,0
ROCKDALE COUNTY,Georgia,16561,0,0.04,0.11,0.706056398,13.98,1.051,0
CATAWBA COUNTY SCHOOLS,North Carolina,16544,0,0.07,0.11,0.51426499,16.27,1.057,0
STATE CHARTER SCHOOL INSTITUTE,Colorado,16427,1,0.16,0.11,0.441042187,18.81,0.95,1
TRACY JOINT UNIFIED,California,16426,0.14,0.26,0.12,0.49665165,23.38,0.944,0
GRAND RAPIDS PUBLIC SCHOOLS,Michigan,16417,0,0.26,0.19,0.735883535,15.31,1.043,0
WENTZVILLE R-IV,Missouri,16400,0,0.01,0.14,0.178170732,16.01,0.923,0
PICKENS 01,South Carolina,16378,0,0.03,0.12,0.603431432,16.76,1.106,0
APPLETON AREA SCHOOL DISTRICT,Wisconsin,16366,0.37,0.08,0.15,0.371562996,15.7,1.078,0
FLORENCE 01,South Carolina,16358,0.04,0.02,0.17,0.736520357,14.62,1.031,0
YAKIMA SCHOOL DISTRICT,Washington,16327,0,0.33,0.13,0.763398052,18.84,1.024,0
THOMPSON SCHOOL DISTRICT R-2J,Colorado,16280,0.06,0.03,0.11,0.402088452,18.06,0.974,1
DAVENPORT COMM SCHOOL DISTRICT,Iowa,16279,0,0.02,0.17,0.610541188,13.38,1.006,0
BRYAN ISD,Texas,16237,0.04,0.22,0.09,0.751000801,14.66,0.973,0
CHIPPEWA VALLEY SCHOOLS,Michigan,16226,0,0.07,0.12,0.219339332,20.56,1.019,0
PERRY TOWNSHIP SCHOOLS,Indiana,16207,0,0.21,0.15,0.62596409,20.33,0.937,0
SUNNYSIDE UNIFIED DISTRICT,Arizona,16168,0,0.12,0.13,0.831580901,21.08,1.013,1
AUBURN SCHOOL DISTRICT,Washington,16158,0,0.18,0.11,0.072928177,17.68,1.075,0
HUNTINGTON BEACH UNION HIGH,California,16140,0,0.09,0.11,0.315241636,25.6,0.968,0
BURBANK UNIFIED,California,16104,0.05,0.11,0.12,0.35171386,24.1,0.952,0
CARMEL CLAY SCHOOLS,Indiana,16035,0,0.03,0.11,0.090177736,18.95,0.906,0
HILLIARD CITY,Ohio,16025,0,0.08,0.13,0.2375039,18.37,0.894,0
STAMFORD SCHOOL DISTRICT,Connecticut,15985,0,0.13,0.13,0.119266055,12.58,0.97,0
CALVERT COUNTY PUBLIC SCHOOLS,Maryland,15950,0,0.01,0.1,0.235987461,16.2,0.977,0
NORMAN,Oklahoma,15942,0,0.04,0.17,0.481683603,16.98,0.936,1
CHARLOTTE,Florida,15923,0.08,0.03,0.19,0.505809207,11.33,1.019,0
MISSION CISD,Texas,15882,0,0.3,0.07,0.836796373,15.78,1.084,0
TOMS RIVER REGIONAL SCHOOL DISTRICT,New Jersey,15878,0,0.01,0.17,0.288071546,13.34,0.956,0
RENTON SCHOOL DISTRICT,Washington,15849,0,0.17,0.13,0.515048268,19.35,1.037,0
ROCKWALL ISD,Texas,15822,0,0.07,0.1,0.241815194,16.52,0.905,0
LAKOTA LOCAL,Ohio,15802,0,0.07,0.11,0.515819751,22.92,0.945,0
CENTRAL UNIFIED,California,15772,0,0.12,0.1,0.644242962,24.6,0.985,0
UPLIFT EDUCATION,Texas,15768,1,0.31,0.07,0.754058853,15.84,0.956,0
ROGERS SCHOOL DISTRICT,Arkansas,15739,0.05,0.34,0.12,0.405298939,16,0.905,0
DUBLIN CITY,Ohio,15729,0,0.11,0.11,1,19.32,0.876,0
EDISON TOWNSHIP SCHOOL DISTRICT,New Jersey,15687,0,0.03,0.12,0.2064767,13.86,0.962,0
CECIL COUNTY PUBLIC SCHOOLS,Maryland,15633,0,0.01,0.15,0.44175782,13.38,0.975,0
MUKILTEO SCHOOL DISTRICT,Washington,15544,0,0.2,0.14,0.497683994,19.53,1.009,0
LITTLETON SCHOOL DISTRICT NO. 6 IN THE COUNTY OF ARAPAHOE,Colorado,15517,0.09,0.03,0.11,0.18811626,18.48,1.077,1
NAMPA SCHOOL DISTRICT,Idaho,15498,0.08,0.09,0.1,0.59226997,18.53,0.894,0
SCHERTZ-CIBOLO-U CITY ISD,Texas,15497,0,0.04,0.08,0.290895012,16.83,1.226,0
WARREN COUNTY,Kentucky,15494,0,0.1,0.14,0.567574545,16.53,0.965,1
NASH-ROCKY MOUNT SCHOOLS,North Carolina,15473,0,0.04,0.15,0.749499128,16.22,1.032,0
M S D WAYNE TOWNSHIP,Indiana,15472,0,0.13,0.14,0.763055843,14.99,0.948,0
KANSAS CITY 33,Missouri,15418,0.03,0.23,0.13,0.99306006,14.48,1.054,0
SANTA CLARA UNIFIED,California,15409,0,0.25,0.14,0.357323642,23.36,0.935,0
PARAMOUNT UNIFIED,California,15405,0,0.35,0.11,0.93197014,24.36,0.942,0
M S D LAWRENCE TOWNSHIP,Indiana,15379,0,0.12,0.14,0.655894401,18.68,0.825,0
CITRUS,Florida,15338,0.08,0.01,0.12,0.659929587,14.88,1.032,0
ORLEANS PARISH,Louisiana,15336,0.78,0.06,0.08,0.511085029,14.55,0.846,0
ALEXANDRIA CITY PBLC SCHS,Virginia,15301,0,0.29,0.11,0.445983923,14.05,1.005,0
CLEVELAND COUNTY SCHOOLS,North Carolina,15234,0,0.01,0.15,0.721543915,14.42,1.034,0
CROWLEY ISD,Texas,15215,0,0.14,0.09,0.58034834,15.01,0.944,0
LANCASTER ELEMENTARY,California,15213,0.08,0.17,0.14,0.822520213,24.78,0.992,0
SIOUX CITY COMM SCHOOL DISTRICT,Iowa,15205,0,0.16,0.15,0.5869122,16.6,1.002,0
SANTA BARBARA UNIFIED,California,15185,0.13,0.24,0.13,0.486269345,25.15,1.079,0
ROCHESTER COMMUNITY SCHOOL DISTRICT,Michigan,15162,0,0.07,0.11,0.090819153,19.38,0.896,0
INDEPENDENCE 30,Missouri,15095,0,0.06,0.1,0.669559457,15.93,0.999,0
WACO ISD,Texas,15081,0,0.17,0.07,0.853325376,15.16,0.901,0
DONNA ISD,Texas,15072,0,0.47,0.08,0.937101911,14.25,0.936,0
SAN ANGELO ISD,Texas,15071,0,0.04,0.1,0.581845929,15.97,0.927,0
PASSAIC CITY SCHOOL DISTRICT,New Jersey,15052,0,0.23,0.18,0.946718044,14.33,0.976,0
SALINAS UNION HIGH,California,15040,0,0.25,0.1,0.686303191,23.78,0.965,0
WYLIE ISD,Texas,15021,0,0.09,0.1,0.177756877,15.5,0.93,0
WESTERVILLE CITY,Ohio,14988,0,0.11,0.14,0.34300774,19.7,0.825,0
NORTH THURSTON PUBLIC SCHOOLS,Washington,14962,0,0.05,0.12,0.435503275,17.84,1.248,0
DOUGHERTY COUNTY,Georgia,14946,0.04,0.02,0.1,1,15.37,1.03,0
TOMBALL ISD,Texas,14932,0,0.1,0.08,0.216916689,15.99,1.388,0
CARROLL COUNTY,Georgia,14904,0,0.02,0.14,0.677709418,15.84,0.948,0
SPRINGFIELD SD 186,Illinois,14903,0.03,0.01,0.22,0.621686909,14.57,0.992,0
WICOMICO COUNTY PUBLIC SCHOOLS,Maryland,14889,0,0.05,0.12,0.61011485,13.24,1.051,0
FORT SMITH SCHOOL DISTRICT,Arkansas,14888,0,0.27,0.14,0.349677593,14.67,1.027,0
EAGLE PASS ISD,Texas,14831,0,0.31,0.09,0.770345897,16.51,0.967,0
SCHAUMBURG CCSD 54,Illinois,14814,0,0.19,0.1,0.203523694,13.03,1.041,0
VIGO COUNTY SCHOOL CORP,Indiana,14811,0,0.01,0.2,0.533657417,17.86,0.964,0
PLEASANTON UNIFIED,California,14778,0,0.1,0.09,0.066788469,24.27,0.899,0
HARRISON CO SCHOOL DIST,Mississippi,14773,0,0.02,0.14,0.716712922,16.13,0.986,0
LAWTON,Oklahoma,14747,0,0.04,0.18,0.664948803,16.12,0.967,1
NEW CANEY ISD,Texas,14677,0,0.27,0.09,0.612114192,15.35,1.053,0
TOOELE DISTRICT,Utah,14662,0,0.03,0.14,0.37150457,21.8,0.861,0
LAFOURCHE PARISH,Louisiana,14653,0.06,0.03,0.07,0.645533338,13.45,1.072,0
NATOMAS UNIFIED,California,14631,0.32,0.13,0.11,0.48076003,21.78,0.982,0
PORTSMOUTH CITY PBLC SCHS,Virginia,14611,0,0.01,0.11,0.684552734,15.78,0.993,0
AURORA EAST USD 131,Illinois,14605,0,0.33,0.13,0.726874358,16.85,1.006,0
VALLEJO CITY UNIFIED,California,14554,0.15,0.18,0.11,0.694310842,24.79,0.957,0
WALNUT VALLEY UNIFIED,California,14519,0,0.12,0.08,0.136097527,25.29,1.041,0
CERES UNIFIED,California,14507,0.15,0.28,0.1,0.811470325,23.55,1.102,0
LYNWOOD UNIFIED,California,14497,0,0.34,0.12,0.929088777,23.78,1.057,0
VICTORIA ISD,Texas,14378,0,0.05,0.1,0.662609542,14.05,0.937,0
KENTON COUNTY,Kentucky,14377,0,0.02,0.14,0.424080128,18.07,0.941,1
APPLE VALLEY UNIFIED,California,14370,0.07,0.1,0.13,0.622964509,24.09,0.924,0
PORTERVILLE UNIFIED,California,14368,0.09,0.28,0.06,0.826767817,24.88,0.978,0
WARREN CONSOLIDATED SCHOOLS,Michigan,14355,0,0.27,0.11,0.573458725,19.36,0.959,0
LIVONIA PUBLIC SCHOOLS SCHOOL DISTRICT,Michigan,14336,0,0.04,0.14,0.249790737,18.82,1.097,0
